Ecology,Database,Generation,Type,Cross,Population,N,Mechanical,Mechanical-Tactile,Oviposition,Fecundity,Fertility,
Allopatry,Allopatric,F0,Conspecific,E♂E♀,AlloEleXAlloEle,24,0.069,0.101,0.029,0.135,0.414,
Allopatry,Allopatric,F0,Conspecific,G♂G♀,AlloGraXAlloGra,3,0.333,0.500,0.067,0.000,0.030,
Allopatry,Allopatric,F0,Heterospecific,E♂G♀,BelgiumXCachadas,42,0.221,0.279,0.273,0.901,1.000,
Allopatry,Allopatric,F0,Heterospecific,E♂G♀,LaigualXCachadas,6,0.333,0.000,0.667,0.989,1.000,
Allopatry,Allopatric,F0,Heterospecific,E♂G♀,SwedenXCachadas,15,0.133,0.077,0.833,0.918,1.000,
Allopatry,Allopatric,F0,Heterospecific,G♂E♀,CachadasXBelgium,11,0.182,0.111,0.000,0.000,0.182,
Allopatry,Allopatric,F0,Heterospecific,G♂E♀,CachadasXMaraixDorx,1,0.000,0.000,0.000,0.113,0.880,
Allopatry,Allopatric,F1,Backcross,E♂H♀,AlloEleXBelgium,7,0.000,0.143,0.091,0.629,0.958,
Allopatry,Allopatric,F1,Backcross,G♂H♀,CachadasXBelgium,2,0.250,0.000,0.000,0.069,0.131,
Allopatry,Allopatric,F1,Backcross,H♂E♀,BelgiumXAlloEle,12,0.292,0.000,0.375,0.900,1.000,
Allopatry,Allopatric,F1,Backcross,H♂G♀,BelgiumXCachadas,14,0.226,0.000,0.250,0.986,1.000,
Allopatry,Allopatric,F1,Hybrid,H♂H♀,BelgiumXBelgium,18,0.028,0.056,0.172,0.942,1.000,
Sympatry,2019,F0,Conspecific,E♂E♀,LaxeXLaxe,31,0.292,0.271,0.167,0.452,0.100,
Sympatry,2019,F0,Conspecific,G♂G♀,MontalvoXMontalvo,10,0.000,0.000,0.000,0.512,0.512,
Sympatry,2019,F0,Heterospecific,E♂G♀,LaxeXCachadas,25,0.245,0.238,0.083,0.234,0.240,
Sympatry,2019,F0,Heterospecific,E♂G♀,LaxeXMontalvo,34,0.358,0.300,0.000,0.450,0.451,
Sympatry,2019,F0,Heterospecific,G♂E♀,CachadasXLaxe,18,0.972,1.000,NA,NA,NA,
Sympatry,2019,F1,Backcross,E♂H♀,LaxeXMontalvo,8,0.375,0.000,0.000,0.070,NA,
Sympatry,2019,F1,Backcross,H♂E♀,MontalvoXLaxe,1,0.000,1.000,NA,NA,NA,
Sympatry,2019,F1,Backcross,H♂G♀,MontalvoXMontalvo,4,0.000,0.250,0.000,0.366,NA,
Sympatry,2019,F1,Hybrid,H♂H♀,MontalvoXMontalvo,8,0.125,0.000,0.083,0.581,NA,
Sympatry,2019,F2,Backcross,E♂H♀,LaxeXMontalvo,7,0.214,0.167,0.400,0.878,0.351,
Sympatry,2019,F2,Backcross,G♂H♀,MontalvoXMontalvo,1,0.667,0.000,0.000,0.795,0.862,
Sympatry,2019,F2,Backcross,H♂E♀,MontalvoXLaxe,7,0.714,0.000,0.000,0.622,0.508,
Sympatry,2019,F2,Backcross,H♂G♀,MontalvoXMontalvo,1,0.500,0.000,0.000,0.558,0.928,
Sympatry,2019,F2,Hybrid,H♂H♀,MontalvoXMontalvo,10,0.150,0.000,0.250,0.725,0.801,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
