Year,Generation,Cross,Group,Color,Type,Mechanical,Tactile,Oviposition,Fecundity,Fertility
2001,F0,E♂E♀,F,A,F0-EXE,NA,NA,NA,NA,NA
2001,F0,G♂G♀,F,B,F0-GXG,NA,NA,NA,NA,NA
2001,F0,E♂G♀,G,A,F0-EXG,0,0.130434783,0.420289855,0.830802713,0.882844979
2001,F0,G♂E♀,G,B,F0-GXE,0.886363636,0.931818182,0.931818182,0.976238316,0.982257942
2001,F1,H♂H♀,L,C,F1-HXH,0.847826087,0.934782609,0.97826087,0.992819582,0.993882284
2001,F1,H♂G♀,K,C,F1-HXG,0.375,0.625,0.625,0.814206681,0.87793379
2001,F1,G♂H♀,K,B,F1-GXH,0.9,1,NA,NA,NA
2001,F1,H♂E♀,J,C,F1-HXE,0.857142857,0.857142857,1,NA,NA
2001,F1,E♂H♀,J,A,F1-EXH,0,0,0,0.582140911,0.784802569
2001,F2,H♂H♀,R,C,F2-HXH,0.1,0.2,0.2,0.659625456,0.77228943
2001,F2,H♂G♀,Q,C,F2-HXG,0.095238095,0.380952381,0.380952381,0.961895952,0.989788115
2001,F2,G♂H♀,Q,B,F2-GXH,NA,NA,NA,NA,NA
2001,F2,H♂E♀,P,C,F2-HXE,NA,NA,NA,NA,NA
2001,F2,E♂H♀,P,A,F2-EXH,0,0.142857143,0.214285714,0.666356905,0.747705158
2019,F0,E♂E♀,H,A,F0-EXE,0.358490566,0.641509434,0.692722372,0.692722372,0.726704056
2019,F0,G♂G♀,H,B,F0-GXG,0,0,0,0,0.512045455
2019,F0,E♂G♀,I,A,F0-EXG,0.413043478,0.608695652,0.624347826,0.880590212,0.922343141
2019,F0,G♂E♀,I,B,F0-GXE,0.954545455,1,NA,NA,NA
2019,F1,H♂H♀,O,C,F1-HXH,0.125,0.125,0.197916667,0.835455426,NA
2019,F1,H♂G♀,N,C,F1-HXG,0,0.25,0.25,0.767013336,NA
2019,F1,G♂H♀,N,B,F1-GXH,NA,NA,NA,NA,NA
2019,F1,H♂E♀,M,C,F1-HXE,0,1,NA,NA,NA
2019,F1,E♂H♀,M,A,F1-EXH,0.545454545,0.545454545,0.545454545,0.793053988,NA
2019,F2,H♂H♀,U,C,F2-HXH,0.181818182,0.181818182,0.386363636,0.91727742,0.983575851
2019,F2,H♂G♀,T,C,F2-HXG,0.5,0.5,0.5,0.89163411,0.992197656
2019,F2,G♂H♀,T,B,F2-GXH,0.666666667,0.666666667,0.666666667,0.966478818,0.995376389
2019,F2,H♂E♀,S,C,F2-HXE,0.909090909,0.909090909,0.909090909,0.983173733,0.991726091
2019,F2,E♂H♀,S,A,F2-EXH,0.25,0.375,0.625,0.977676627,0.985517529
Allopatric,F0,E♂E♀,A,A,F0-EXE,0.103448276,0.206896552,0.230223124,0.230223124,0.293142022
Allopatric,F0,G♂G♀,A,B,F0-GXG,0.2,0.8,0.813333333,0.813333333,0.817158254
Allopatric,F0,E♂G♀,B,A,F0-EXG,0.309859155,0.450704225,0.725352113,0.985282462,1
Allopatric,F0,G♂E♀,B,B,F0-GXE,0.181818182,0.272727273,0.272727273,0.527445908,0.613355415
Allopatric,F1,H♂H♀,E,C,F1-HXH,0.05,0.1,0.25,0.979531851,1
Allopatric,F1,H♂G♀,D,C,F1-HXG,0.294117647,0.294117647,0.470588235,0.996251815,1
Allopatric,F1,G♂H♀,D,B,F1-GXH,0.333333333,0.333333333,0.333333333,0.695997556,0.735876204
Allopatric,F1,H♂E♀,C,C,F1-HXE,0.266666667,0.266666667,0.541666667,0.977629668,1
Allopatric,F1,E♂H♀,C,A,F1-EXH,0,0.142857143,0.220779221,0.858274304,0.994054434
