Dataset,Barrier,Difference.GE.EG,Color
Allopatry 2015,Mechanical,-0.128040973,EG
Allopatry 2015,Mechanical-Tactile,-0.092970522,EG
Allopatry 2015,Ovipostion,-0.5,EG
Allopatry 2015,Fecundity,-0.596174944,EG
Allopatry 2015,Fertility,-0.81820175,EG
Allopatry 2015,Total Cumulative Isolation,-0.387,EG
NSHZ 2000-2001,Mechanical,0.886363636,GE
NSHZ 2000-2001,Mechanical-Tactile,0.269565217,GE
NSHZ 2000-2001,Ovipostion,-0.333333333,EG
NSHZ 2000-2001,Fecundity,-0.056639383,EG
NSHZ 2000-2001,Fertility,-0.05425,EG
NSHZ 2000-2001,Total Cumulative Isolation,0.1,GE
NSHZ 2019-2020,Mechanical,0.541501976,GE
NSHZ 2019-2020,Mechanical-Tactile,0.666666667,GE
NSHZ 2019-2020,Ovipostion,NA,Other
NSHZ 2019-2020,Fecundity,NA,Other
NSHZ 2019-2020,Fertility,NA,Other
NSHZ 2019-2020,Total Cumulative Isolation,0.08,GE
Postzygotic (Allopatric GE vs NSHZ 2000-2001 GE),EH,0.209251865,GE
Postzygotic (Allopatric GE vs NSHZ 2000-2001 GE),GH,-0.264123796,EG
Postzygotic (Allopatric GE vs NSHZ 2000-2001 GE),HH,0.006117716,GE
Postzygotic (Allopatric GE vs NSHZ 2000-2001 GE),HE,0,Other
Postzygotic (Allopatric GE vs NSHZ 2000-2001 GE),HG,0.12206621,GE
Postzygotic (Allopatric GE vs NSHZ 2000-2001 GE),Average,0.014662399,GE
Postzygotic (Allopatric GE vs NSHZ 2019-2020 GE),EH,0.065220316,GE
Postzygotic (Allopatric GE vs NSHZ 2019-2020 GE),GH,NA,Other
Postzygotic (Allopatric GE vs NSHZ 2019-2020 GE),HH,0.144076424,GE
Postzygotic (Allopatric GE vs NSHZ 2019-2020 GE),HE,-0.022370332,EG
Postzygotic (Allopatric GE vs NSHZ 2019-2020 GE),HG,0.229238479,GE
Postzygotic (Allopatric GE vs NSHZ 2019-2020 GE),Average,0.052656351,GE
